,eav_id,title,subtitle,n_rooms,n_bedrooms,n_bathrooms,useful_area,built_area,land_area,price,built_year,energy_class,energy_consumption,co2_emission,co2_emission_scale,protected,status,parking,garage,floor_cover,property_subclass,terrace_area,heating_type,location_status
0,W-02JRLE,EXCLUSIVO PROYECTO DE DISEÑO CON VISTAS A BARCELONA,"Casa, Comprar | España, Barcelona, Sarria, Vallvidrera",7,7,7,1.100 m²,1.100 m²,1.080 m²,15.000.000 EUR,,G,354 kWh/(m²*a),72 kg/m²,G,,,,,,Casa unifamiliar,,,
1,W-028RMB,MAGNÍFICO PALACETE ADOSADO EN PEDRALBES-SARRIÀ,"Casa, Comprar | España, Barcelona, Pedralbes, Pedralbes",7,7,6,1.345 m²,1.345 m²,2.036 m²,14.000.000 EUR,1960,E,"195,43 kWh/(m²*a)",40 kg/m²,E,True,Bien,4,4,Piedra,Casa,"144,8 m²",,Excelente
2,W-02PGZ4,MANSIÓN DE LUJO EN SANT ANDREU DE LLAVANERAS,"Casa, Comprar | España, Barcelona, Maresme, Sant Andreu de Llavaneres",5,5,5,1.200 m²,1.200 m²,7 ha,12.900.000 EUR,1993,D,130 kWh/(m²*a),25 kg/m²,D,,Muy bien,5,5,Gres/Cerámico Parquet Entablado Moqueta Piedra,Propiedad histórica,,Corriente Eléctrica,Excelente
3,W-02CA7W,PRECIOSO CONJUNTO RESIDENCIAL EN INMEJORABLE ZONA,"Casa, Comprar | España, Barcelona, Sant Just - Esplugues, Sant Just Desvern",9,9,9,640 m²,848 m²,3.700 m²,10.700.000 EUR,1920,E,164 kWh/(m²*a),32 kg/m²,,True,Muy bien,5,5,Gres/Cerámico Parquet Entablado,Casa unifamiliar,,Gas,Muy bien
4,W-02M9ON,MAGNÍFICA CASA INDEPENDIENTE EN PEDRALBES,"Casa, Comprar | España, Barcelona, Pedralbes, Pedralbes",7,,5,1.780 m²,1.780 m²,2.000 m²,9.950.000 EUR,1940,B,134 kWh/(m²*a),8 kg/m²,A,,Muy bien,,,,Casa unifamiliar,,Gas,Excelente
5,W-02RHGA,CASTILLO HOTEL CON VISTAS AL MAR,"Casa, Comprar | España, Barcelona, Maresme, Sant Vicenc de Montalt",11,11,8,4.000 m²,4.000 m²,4 ha,9.900.000 EUR,,,,,,True,,,,Parquet Piedra,Propiedad histórica,,Gas,
6,W-02HK9B,ESPECTACULAR ÁTICO CON PISCINA EN TURÓ PARC,"Apartamento, Comprar | España, Barcelona, Sant Gervasi, Turo Parc",9,9,10,1.244 m²,1.244 m²,,9.500.000 EUR,,E,208 kWh/(m²*a),41 kg/m²,E,,Muy bien,7,,Mármol,Loft / Ático,,Gas,Excelente
7,W-02PVY8,GRAN FINCA CON VILLA EN EL CENTRO DE LLAVANERAS,"Casa, Comprar | España, Barcelona, Maresme, Sant Andreu de Llavaneres",46,46,46,4.686 m²,4.686 m²,"1,26 ha",8.000.000 EUR,1920,,,,,,Necesita restauración,30,30,,Villa,,Gas,Excelente
8,W-02HB7I,JOYA CLÁSICA CON MAJESTUOSO JARDÍN,"Casa, Comprar | España, Barcelona, Sant Just - Esplugues, Sant Just Desvern",7,7,7,1.304 m²,1.304 m²,2.468 m²,7.950.000 EUR,1927,E,157 kWh/(m²*a),33 kg/m²,D,True,Excelente,14,14,Gres/Cerámico Parquet,Casa unifamiliar,80 m²,Suelo radiante,Excelente
9,W-02PFWC,MANSIÓN DE LUJO EN CABRERA DE MAR,"Casa, Comprar | España, Barcelona, Maresme, Cabrera de Mar",7,7,8,1.370 m²,1.370 m²,5.915 m²,7.800.000 EUR,1900,C,18 kWh/(m²*a),99 kg/m²,C,,Excelente,12,12,Mármol Parquet Entablado,Villa,,Gas,Excelente
10,W-02RBWS,CASA DE ENSUEÑO CON INCREÍBLES VISTAS AL MAR,"Casa, Comprar | España, Barcelona, Maresme, Sant Andreu de Llavaneres",23,23,10,1.784 m²,1.784 m²,4.375 m²,7.350.000 EUR,1993,,,,,,Muy bien,20,20,Gres/Cerámico Parquet Entablado,Casa unifamiliar,,Corriente Eléctrica Gas,Excelente
